gene_id	gene_iv	gene_CIR_length	gene_CER_length	gene_CIR_read_count	gene_CER_read_count	gene_CIR_RPKM	gene_CER_RPKM	gene_IRI
A1BG	chr19:58858171-58864865	4394	1766	39.1944444444	53.8055555556	0.350638302157	1.19765385034	0.292770988928
A1BG-AS1	chr19:58863335-58866549	1084	2130	7.0	2.0	0.253842100104	0.0369101055014	6.87730627306
A1CF	chr10:52559168-52645435	52330	9221	7.83333333333	30.1666666667	0.00588424527317	0.128600955915	0.0457558439694
A2M	chr12:9220303-9268558	41456	4653	61.2777777778	6.72222222222	0.0581045986935	0.0567903711516	1.02314173187
A2M-AS1	chr12:9217772-9220651	692	2187	1.0	7.0	0.0568052924262	0.12581839804	0.451486374897
A2ML1	chr12:8975149-9029381	23197	3618	10.1666666667	17.8333333333	0.0172282694881	0.193757650286	0.0889165896815
A2MP1	chr12:9381128-9386803	4261	1201	4.88888888889	0.111111111111	0.0451017638998	0.00363671591812	12.4017836189
A3GALT2	chr1:33772366-33786699	11486	1023	18.0	0.0	0.0616025354746	0.0	inf
A4GALT	chr22:43088126-43116876	22714	2092	15.4444444444	1.55555555556	0.026728437028	0.0292293219155	0.914439175336
A4GNT	chr3:137842559-137851229	6300	1771	2.0	1.0	0.0124791309076	0.022196082642	0.562222222222
AA06	chr17:31856805-31860779	3173	632	0.0	0.0	0.0	0.0	NA
AAAS	chr12:53701239-53715412	9730	1738	69.5277777778	225.472222222	0.280892667821	5.09962413003	0.0550810531638
AACS	chr12:125549924-125627871	58699	3321	107.972222222	131.027777778	0.0723063154536	1.55091999186	0.0466215638672
AACSP1	chr5:178191863-178203277	8614	2173	4.69444444444	8.30555555556	0.0214227012185	0.150246324146	0.142583862469
AADAC	chr3:151531860-151546276	12180	1606	0.0	0.0	0.0	0.0	NA
AADACL2	chr3:151451703-151475556	20491	1500	0.0	0.0	0.0	0.0	NA
AADACL2-AS1	chr3:151468966-151645963	164805	712	55.0	1.0	0.0131185912426	0.0552096381446	0.237614150056
AADACL3	chr1:12776117-12788726	7758	3832	2.0	4.0	0.0101338650062	0.0410326329425	0.246970868781
AADACL4	chr1:12704565-12727097	18716	1575	5.0	0.0	0.0105015127054	0.0	inf
AADACP1	chr3:151488243-151502682	12454	1289	0.0	0.0	0.0	0.0	NA
AADAT	chr4:170981372-171011538	26566	2030	3.0	7.0	0.00443904942697	0.135549180548	0.0327486260634
AAED1	chr9:99403532-99417599	10269	1225	18.0	177.0	0.0689031767904	5.67978729594	0.0121312952757
AAGAB	chr15:67493012-67547536	46376	3021	281.888888889	263.111111111	0.238934886351	3.42360267998	0.0697904835009
AAK1	chr2:69685126-69870977	151850	21265	643.555555556	3239.44444444	0.166596603068	5.98825166066	0.0278205747702
AAMDC	chr11:77532207-77583398	40847	504	131.305555556	19.6944444444	0.126362389711	1.53605968984	0.0822639839757
AAMP	chr2:219128851-219134893	3467	1793	179.956349206	1706.04365079	2.04036669862	37.4028541354	0.0545510963209
AANAT	chr17:74449432-74466199	544	846	2.0	3.0	0.144519346908	0.139394547372	1.03676470588
AAR2	chr20:34824338-34844863	13907	2486	255.388888889	1087.61111111	0.721877388142	17.1975826674	0.0419755149374
AARD	chr8:117950463-117956239	3836	1786	0.0	33.0	0.0	0.72631895736	0.0
AARS	chr16:70286296-70323412	23726	3344	722.0	4405.86111111	1.19621037778	51.7916119419	0.0230966045065
AARS2	chr6:44266462-44281063	9504	4782	112.888888889	588.111111111	0.46691697714	4.83442366434	0.0965817250533
AARSD1	chr17:41102542-41116515	9633	1364	0.0	0.0	0.0	0.0	NA
AASDH	chr4:57204450-57253674	26549	1687	24.5277777778	38.4722222222	0.0363165788447	0.896452090613	0.0405114553527
AASDHPPT	chr11:105948291-105969419	17497	2861	83.0	327.0	0.186470182076	4.4928796894	0.0415034888462
AASS	chr7:121713597-121784344	61856	5871	82.9166666667	98.0833333333	0.0526932391996	0.656716655261	0.0802374034181
AATF	chr17:35306174-35414171	97511	2141	605.166666667	1895.83333333	0.243958684363	34.8079448336	0.0070087069354
AATK	chr17:79091095-79139872	9209	5042	20.2777777778	83.0833333333	0.086557116595	0.647747827778	0.133627799096
AATK-AS1	chr17:79139306-79156964	14641	1577	10.0	1.0	0.0268487551116	0.0249266089784	1.07711221911
ABAT	chr16:8768443-8878432	49568	4689	0.0	0.0	0.0	0.0	NA
ABCA1	chr9:107543283-107690527	126340	10502	55.1388888889	218.861111111	0.0171558417723	0.819202898194	0.0209421155737
ABCA10	chr17:67144147-67240956	85184	6331	53.9444444444	19.0555555556	0.0248933640058	0.118316195345	0.210396927769
ABCA11P	chr4:419223-467998	38732	1895	32.0	16.0	0.0324769285213	0.331898785089	0.0978519054012
ABCA12	chr2:215796265-216003151	77777	7895	8.33333333333	2.66666666667	0.0042117487988	0.0132773527073	0.317212993559
ABCA13	chr7:48211056-48687091	389423	17184	329.333333333	54.6666666667	0.0332436718004	0.125052743383	0.265837205176
ABCA17P	chr16:2390922-2476700	67884	4188	0.0	0.0	0.0	0.0	NA
ABCA2	chr9:139901685-139923374	12676	7940	9.63888888889	827.361111111	0.0298909444763	4.09609004814	0.00729743343653
ABCA3	chr16:2325878-2390747	47215	6623	0.0	0.0	0.0	0.0	NA
ABCA4	chr1:94458393-94586705	117571	7325	26.0	0.0	0.00869296698448	0.0	inf
